"category_id","lv1_category_kr","lv1_category_en","lv2_category_kr","lv2_category_en","lv3_category_kr","lv3_category_en","sku_category_id"
"naver_000010","스킨케어","Skincare","에센스ㆍ로션ㆍ크림","EssenceㆍLotionㆍCream","크림","Cream","sku_category_121"
"naver_000120","스킨케어","Skincare","멘즈케어","Men","크림(멘즈)","Cream(Men)","sku_category_120"
"naver_000030","스킨케어","Skincare","클렌징","Cleansing","클렌징 세트","Cleansing Set","sku_category_119"
"olive_young_000156","스킨케어","Skincare","클렌징","Cleansing","클렌징 오일ㆍ밤","Cleansing OilㆍBalm","sku_category_118"
"olive_young_000159","스킨케어","Skincare","클렌징","Cleansing","클렌징 크림ㆍ밀크","Cleansing CreamㆍMilk","sku_category_117"
"olive_young_000160","스킨케어","Skincare","클렌징","Cleansing","클렌징 티슈ㆍ패드","Cleansing TissueㆍPad","sku_category_116"
"naver_000123","스킨케어","Skincare","멘즈케어","Men","클렌징(멘즈)","Cleansing(Men)","sku_category_115"
"naver_000023","스킨케어","Skincare","클렌징","Cleansing","클렌징밀크","Cleansing Milk","sku_category_117"
"naver_000026","스킨케어","Skincare","클렌징","Cleansing","클렌징비누","Cleansing Soap","sku_category_113"
"olive_young_000155","스킨케어","Skincare","클렌징","Cleansing","클렌징비누","Cleansing Soap","sku_category_113"
"naver_000033","스킨케어","Skincare","클렌징","Cleansing","클렌징오일","Cleansing Oil","sku_category_118"
"olive_young_000161","스킨케어","Skincare","클렌징","Cleansing","클렌징워터","Cleansing Water","sku_category_111"
"naver_000031","스킨케어","Skincare","클렌징","Cleansing","클렌징워터","Cleansing Water","sku_category_111"
"naver_000024","스킨케어","Skincare","클렌징","Cleansing","클렌징젤","Cleansing Gel","sku_category_110"
"naver_000034","스킨케어","Skincare","클렌징","Cleansing","클렌징크림","Cleansing Cream","sku_category_117"
"naver_000025","스킨케어","Skincare","클렌징","Cleansing","클렌징티슈","Cleansing Tissue","sku_category_116"
"naver_000027","스킨케어","Skincare","클렌징","Cleansing","클렌징파우더","Cleansing Powder","sku_category_107"
"naver_000032","스킨케어","Skincare","클렌징","Cleansing","클렌징폼","Cleansing Foam","sku_category_105"
"olive_young_000154","스킨케어","Skincare","클렌징","Cleansing","클렌징폼ㆍ젤","Cleansing FoamㆍGel","sku_category_105"
"naver_000081","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","탈모케어ㆍ두피케어","Hair LossㆍScalp Care","sku_category_104"
"olive_young_000166","스킨케어","Skincare","선케어","Suncare","태닝","Tanning","sku_category_103"
"olive_young_000151","스킨케어","Skincare","마스크ㆍ팩","MaskㆍPack","토너패드","Pad","sku_category_102"
"naver_000130","스킨케어","Skincare","마스크ㆍ팩","MaskㆍPack","토너패드","Toner Pad","sku_category_102"
"naver_000006","메이크업","Makeup","베이스 메이크업","Base Makeup","톤업크림","Tone-Up Cream","sku_category_101"
"olive_young_000063","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","트리트먼트","Treatment","sku_category_38"
"olive_young_000068","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","파마","Perm","sku_category_36"
"naver_000086","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","파마","Perm","sku_category_36"
"olive_young_000013","메이크업","Makeup","베이스 메이크업","Base Makeup","파우더ㆍ팩트","PowderㆍPact","sku_category_35"
"naver_000051","메이크업","Makeup","베이스 메이크업","Base Makeup","파우더ㆍ팩트","PowderㆍPact","sku_category_35"
"olive_young_000011","메이크업","Makeup","베이스 메이크업","Base Makeup","파운데이션","Foundation","sku_category_34"
"naver_000035","메이크업","Makeup","베이스 메이크업","Base Makeup","파운데이션","Foundation","sku_category_34"
"olive_young_000153","스킨케어","Skincare","마스크ㆍ팩","MaskㆍPack","패치","Patch","sku_category_33"
"naver_000021","스킨케어","Skincare","마스크ㆍ팩","MaskㆍPack","팩 세트","MaskㆍPack Set","sku_category_32"
"olive_young_000043","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","퍼퓸바디미스트","Perfumed Body Mist","sku_category_31"
"olive_young_000205","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","퍼퓸바디미스트","Perfumed Body Mist","sku_category_31"
"naver_000029","스킨케어","Skincare","클렌징","Cleansing","페이스스크럽","Face Scrub","sku_category_30"
"olive_young_000009","스킨케어","Skincare","토너ㆍ미스트ㆍ오일","TonerㆍMistㆍFace Oil","페이스오일","Face Oil","sku_category_29"
"naver_000004","스킨케어","Skincare","토너ㆍ미스트ㆍ오일","TonerㆍMistㆍFace Oil","페이스오일","Face Oil","sku_category_29"
"olive_young_000118","스킨케어","Skincare","멘즈케어","Men","폼ㆍ젤ㆍ오일ㆍ크림(멘즈)","FoamㆍGelㆍOilㆍCream(Men)","sku_category_28"
"naver_000069","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","풋케어","Footcare","sku_category_27"
"olive_young_000184","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","풋크림ㆍ보습용품","Foot Cream","sku_category_27"
"olive_young_000012","메이크업","Makeup","베이스 메이크업","Base Makeup","프라이머ㆍ베이스","PrimerㆍMakeup Base","sku_category_25"
"naver_000038","메이크업","Makeup","베이스 메이크업","Base Makeup","프라이머ㆍ베이스","PrimerㆍMakeup Base","sku_category_25"
"olive_young_000019","메이크업","Makeup","베이스 메이크업","Base Makeup","픽서","Fixer","sku_category_24"
"olive_young_000164","스킨케어","Skincare","클렌징","Cleansing","필링ㆍ스크럽","PeelingㆍScrub","sku_category_23"
"naver_000126","스킨케어","Skincare","멘즈케어","Men","필링ㆍ스크럽(멘즈)","PeelingㆍScrub(Men)","sku_category_22"
"naver_000016","스킨케어","Skincare","마스크ㆍ팩","MaskㆍPack","필오프팩","Peel-Off Pack","sku_category_21"
"olive_young_000017","메이크업","Makeup","베이스 메이크업","Base Makeup","하이라이터","Highlighter","sku_category_19"
"naver_000050","메이크업","Makeup","베이스 메이크업","Base Makeup","하이라이터ㆍ쉐이딩","HighlighterㆍShading","sku_category_19"
"olive_young_000046","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","핸드마스크ㆍ세니타이저","Hand MaskㆍSanitizer","sku_category_18"
"olive_young_000047","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","핸드선물 세트","Handcare Set","sku_category_17"
"olive_young_000044","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","핸드워시","Hand Wash","sku_category_16"
"olive_young_000045","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","핸드크림","Hand Cream","sku_category_15"
"naver_000068","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","핸드크림","Hand Cream","sku_category_15"
"naver_000115","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","향수","Perfume","향수 세트","Perfume Set","sku_category_14"
"olive_young_000069","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","헤어메이크업","Hair Makeup","sku_category_13"
"naver_000084","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","헤어무스ㆍ스프레이","Hair MousseㆍSpray","sku_category_12"
